Ticker,Buy_Date,Sell_Date,Buy_Price,Sell_Price,PnL,Return_%,Holding_Period
CHAMBLFERT.NS,2021-05-28,2021-09-09,250.7552490234375,273.5528259277344,10281.70718383789,0.09091565178827439,104
HFCL.NS,2021-08-13,2021-09-20,68.4757308959961,70.10964965820312,2674.72501373291,0.023861282542404664,38
TEJASNET.NS,2021-08-20,2021-09-20,361.1020202636719,401.1580505371094,14259.94677734375,0.1109271840799703,31
SAREGAMA.NS,2021-08-20,2021-09-20,293.58746337890625,340.6121826171875,20126.579833984375,0.1601727767836966,31
ADANIENSOL.NS,2021-08-27,2021-09-20,1433.699951171875,1729.3499755859375,36956.25305175781,0.20621471331738878,24
TTML.NS,2021-08-13,2021-09-28,39.400001525878906,34.650001525878906,-12768.0,-0.12055837096554631,46
TECHM.NS,2021-08-13,2021-09-28,1161.8818359375,1187.838623046875,6177.71533203125,0.022340298562659747,46
KPITTECH.NS,2021-08-20,2021-10-01,322.073486328125,327.7945556640625,2111.0745849609375,0.017763242175448543,42
TEJASNET.NS,2021-09-24,2021-10-06,435.7337341308594,488.6435546875,19100.445220947266,0.12142695506965447,12
LINDEINDIA.NS,2021-08-27,2021-10-13,2357.510498046875,2565.4521484375,11852.674072265625,0.08820391279822434,47
ELECON.NS,2021-08-20,2021-10-18,79.97840118408203,81.30319213867188,1836.1602630615234,0.01656435906415087,59
IDEA.NS,2021-09-17,2021-10-19,11.149999618530273,10.0,-10159.096630096436,-0.10313898276902897,32
IRCTC.NS,2021-09-24,2021-10-19,705.8128662109375,1043.6005859375,88162.59484863281,0.4785797141102442,25
RPOWER.NS,2021-08-13,2021-10-20,11.550000190734863,15.350000381469727,35644.00178909302,0.32900434008504464,68
FLUOROCHEM.NS,2021-06-18,2021-10-21,1136.53515625,1892.714599609375,72593.2265625,0.6653374857794901,125
OIL.NS,2021-10-01,2021-10-21,131.78318786621094,114.36495208740234,-23253.344764709473,-0.13217342865079235,20
OLECTRA.NS,2021-08-13,2021-10-25,312.4434509277344,520.6392822265625,84943.89916992188,0.6663472403746499,73
ZENTEC.NS,2021-09-17,2021-10-25,193.2728271484375,205.58287048339844,8395.44955444336,0.06369257135927635,38
RKFORGE.NS,2021-08-13,2021-10-28,183.79051208496094,219.50186157226562,36675.555923461914,0.19430464109483728,76
JSWENERGY.NS,2021-09-24,2021-10-28,341.1910705566406,339.43658447265625,-956.1949157714844,-0.005142239159782218,34
GODREJPROP.NS,2021-10-01,2021-11-17,2222.556884765625,2211.51025390625,-883.73046875,-0.0049702353784928655,47
JSWENERGY.NS,2021-10-29,2021-11-18,339.82647705078125,287.8266296386719,-23763.930267333984,-0.15301882261616387,20
